站点,type,description,匹配辅助列,取值字段,中文意思,账单字段序列,维度,绩效表对应维度
BE,Commande,,Commande,ventes de produits,商品销售收入,3,订单,订单金额
BE,Commande,,Commande,crédits d’expédition,运费销售收入,8,订单,订单金额
BE,Commande,,Commande,crédits d’emballage-cadeau,包装收入,10,订单,订单金额
BE,Commande,,Commande,Total des réductions,折扣金额,12,订单,订单金额
BE,Commande,,Commande,taxe de ventes prélevée,已收取的销售税,41,订单,税费
BE,Commande,,Commande,Taxe Marketplace Facilitator,平台代扣代缴税额,43,订单,税费
BE,Commande,,Commande,frais de vente,佣金,23,订单,平台佣金
BE,Commande,,Commande,Frais pour le service Expédié par Amazon,运费,25,订单,尾程派送费
BE,Commande,,Commande,autres frais de transaction,其他交易费用,27,订单,弃置费/退货手续费/移除费
BE,Commande,,Commande,autres,其他,25,订单,售后费用
BE,Frais de service,Coût de la publicité,Frais de service/Coût de la publicité,autres frais de transaction,广告费,36,单维度费用,广告费
BE,Transférer,,Transférer,total,提现金额,18,单维度费用,
CA,Adjustment,FBA Inventory Reimbursement - Customer Return,Adjustment/FBA Inventory Reimbursement - Customer Return,toatl,FBA库存赔偿-客户退货,5,单维度费用,索赔
CA,Adjustment,FBA Inventory Reimbursement - Lost:Warehouse,Adjustment/FBA Inventory Reimbursement - Lost:Warehouse,toatl,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
CA,Adjustment,FBA Inventory Reimbursement - Damaged:Warehouse,Adjustment/FBA Inventory Reimbursement - Damaged:Warehouse,toatl,FBA库存赔偿-仓库损毁,5,单维度费用,索赔
CA,Adjustment,FBA Inventory Reimbursement - General Adjustment,Adjustment/FBA Inventory Reimbursement - General Adjustment,toatl,FBA库存赔偿-常规调整,35,单维度费用,售后费用
CA,Adjustment,Other,Adjustment/Other,toatl,其他调整,35,单维度费用,售后费用
CA,FBA Inventory Fee,Fulfilment by Amazon removal order: disposal fee,FBA Inventory Fee/Fulfilment by Amazon removal order: disposal fee,toatl,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
CA,FBA Inventory Fee,FBA storage fee,FBA Inventory Fee/FBA storage fee,toatl,FBA仓储费,29,单维度费用,仓储费
CA,FBA Inventory Fee,FBA Long-Term Storage Fee,FBA Inventory Fee/FBA Long-Term Storage Fee,toatl,FBA长期仓储费,29,单维度费用,仓储费
CA,order,,order,product sales,商品销售收入,3,订单,订单金额
CA,order,,order,product sales tax,商品销售税,41,订单,税费
CA,order,,order,shipping credits,运费销售收入,8,订单,订单金额
CA,order,,order,shipping credits tax,运费税,41,订单,税费
CA,order,,order,gift wrap credits,包装收入,10,订单,订单金额
CA,order,,order,giftwrap credits tax,包装税,41,订单,税费
CA,order,,order,Regulatory fee,监管费,待发生此类型金额,订单,弃置费/退货手续费/移除费
CA,order,,order,Tax on regulatory fee,监管费税,待发生此类型金额,订单,税费
CA,order,,order,promotional rebates,折扣金额,12,订单,订单金额
CA,order,,order,promotional rebates tax,折扣税,41,订单,税费
CA,order,,order,marketplace withheld tax,平台代扣代缴税额,43,订单,税费
CA,order,,order,selling fees,佣金,23,订单,平台佣金
CA,order,,order,fba fees,运费,25,订单,尾程派送费
CA,order,,order,other transaction fees,其他交易费用,27,订单,弃置费/退货手续费/移除费
CA,order,,order,other,其他,25,订单,售后费用
CA,Refund,,Refund,product sales,商品销售收入-退货,4,订单,退款金额
CA,Refund,,Refund,product sales tax,商品销售税-退货,42,订单,税费
CA,Refund,,Refund,shipping credits,运费销售收入-退货,9,订单,退款金额
CA,Refund,,Refund,shipping credits tax,运费税-退货,42,订单,税费
CA,Refund,,Refund,gift wrap credits,包装收入-退货,11,订单,退款金额
CA,Refund,,Refund,gift wrap credits tax,包装税-退货,42,订单,税费
CA,Refund,,Refund,Regulatory fee,监管费-退货,待发生此类型金额,订单,弃置费/退货手续费/移除费
CA,Refund,,Refund,Tax on regulatory fee,监管费税-退货,待发生此类型金额,订单,税费
CA,Refund,,Refund,promotional rebates,折扣金额-退货,13,订单,退款金额
CA,Refund,,Refund,promotional rebates tax,折扣税-退货,42,订单,税费
CA,Refund,,Refund,marketplace withheld tax,平台代扣代缴税额-退货,43,订单,税费
CA,Refund,,Refund,selling fees,佣金-退货,24,订单,平台佣金
CA,Refund,,Refund,fba fees,运费-退货,26,订单,尾程派送费
CA,Refund,,Refund,other transaction fees,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
CA,Refund,,Refund,other,其他-退货,4,订单,售后费用
CA,Service Fee,Cost of advertising,Service Fee/Cost of advertising,other,广告费,36,单维度费用,广告费
CA,Service Fee,Subscription,Service Fee/Subscription,other,店铺月租,33,单维度费用,弃置费/退货手续费/移除费
CA,Service Fee,Coupon Redemption Fee,Service Fee/Coupon Redemption Fee,other,优惠券使用费,33,单维度费用,推广费
CA,Transfer,,Transfer,total,提现金额,18,单维度费用,
CA,Chargeback Refund,,Chargeback Refund,product sales,商品销售收入-客户拒付,15,订单,订单金额
CA,Chargeback Refund,,Chargeback Refund,product sales tax,商品销售税-客户拒付,42,订单,税费
CA,Chargeback Refund,,Chargeback Refund,shipping credits,运费销售收入-客户拒付,15,订单,订单金额
CA,Chargeback Refund,,Chargeback Refund,shipping credits tax,运费税-客户拒付,42,订单,税费
CA,Chargeback Refund,,Chargeback Refund,gift wrap credits,包装收入-客户拒付,15,订单,订单金额
CA,Chargeback Refund,,Chargeback Refund,gift wrap credits tax,包装税-客户拒付,42,订单,税费
CA,Chargeback Refund,,Chargeback Refund,Regulatory fee,监管费-客户拒付,15,订单,订单金额
CA,Chargeback Refund,,Chargeback Refund,Tax on regulatory fee,监管费税-客户拒付,42,订单,税费
CA,Chargeback Refund,,Chargeback Refund,promotional rebates,折扣金额-客户拒付,15,订单,订单金额
CA,Chargeback Refund,,Chargeback Refund,promotional rebates tax,折扣税-客户拒付,42,订单,税费
CA,Chargeback Refund,,Chargeback Refund,marketplace withheld tax,平台代扣代缴税额-客户拒付,43,订单,税费
CA,Chargeback Refund,,Chargeback Refund,selling fees,佣金-客户拒付,15,订单,平台佣金
CA,Chargeback Refund,,Chargeback Refund,fba fees,运费-客户拒付,15,订单,尾程派送费
CA,Chargeback Refund,,Chargeback Refund,other transaction fees,其他交易费用-客户拒付,15,订单,弃置费/退货手续费/移除费
