取值字段,中文意思
Accrediti per confezioni regalo,包装收入
Accrediti per confezioni regalo,包装收入-退货
Accrediti per le spedizioni,运费销售收入
Accrediti per le spedizioni,运费销售收入-退货
Altri costi relativi alle transazioni,其他交易费用
Altri costi relativi alle transazioni,其他交易费用-退货
Altro,其他
Altro,其他-退货
Amazonポイントの費用,亚马逊积分费用-退货
Amazonポイントの費用,亚马逊积分费用
Andere,其他
Andere,其他-退货
Andere,其他-客户拒付
Andere Transaktionsgebühren,其他交易费用
Andere Transaktionsgebühren,其他交易费用-退货
Andere Transaktionsgebühren,其他交易费用-客户拒付
Andere Transaktionsgebühren,清仓-服务费
Andere Transaktionsgebühren,清仓-服务费调整
Belasting voor marketplace-facilitator,平台代扣代缴税额
Belasting voor marketplace-facilitator,平台代扣代缴税额-退货
Commissioni di vendita,佣金
Commissioni di vendita,佣金-退货
Costi del servizio Logistica di Amazon,运费
Costi del servizio Logistica di Amazon,运费-退货
Einbehaltene Steuer auf Marketplace,平台代扣代缴税额
Einbehaltene Steuer auf Marketplace,平台代扣代缴税额-退货
Einbehaltene Steuer auf Marketplace,平台代扣代缴税额-客户拒付
FBA 手数料,运费-退货
FBA 手数料,运费
Frais Expédié par Amazon,运费
Frais Expédié par Amazon,运费-退货
Frais pour le service Expédié par Amazon,运费
Gebühren zu Versand durch Amazon,运费
Gebühren zu Versand durch Amazon,运费-退货
Gebühren zu Versand durch Amazon,运费-客户拒付
Gesamt,FBA库存赔偿-客户退货
Gesamt,FBA库存赔偿-仓库遗失
Gesamt,FBA库存赔偿-常规调整
Gesamt,FBA库存赔偿-仓库损毁
Gesamt,FBA库存赔偿-配送中途丢失
Gesamt,客户货款追回
Gesamt,FBA库存赔偿-费用调整
Gesamt,订单追加费-商品税
Gesamt,订单追加费-运费税
Gesamt,订单追加费-平台代扣代缴税额
Gesamt,退款追加费-商品税
Gesamt,退款追加费-运费税
Gesamt,退款追加费-平台代扣代缴税额
Gesamt,优惠活动报名费
Gesamt,优惠券点击费
Gesamt,秒杀活动报名费
Gesamt,秒杀活动服务费
Gesamt,好评活动注册费
Gesamt,广告费
Gesamt,优惠活动服务费
Gesamt,FBA退货服务费
Gesamt,FBA仓储费
Gesamt,FBA长期仓储费
Gesamt,FBA弃置费
Gesamt,FBA仓储超量费
Gesamt,提现金额
Gesamt,亚马逊额外退货处理费
Gutschrift für Geschenkverpackung,包装收入
Gutschrift für Geschenkverpackung,包装收入-退货
Gutschrift für Geschenkverpackung,包装收入-客户拒付
Gutschrift für Versandkosten,运费销售收入
Gutschrift für Versandkosten,运费销售收入-退货
Gutschrift für Versandkosten,运费销售收入-客户拒付
Inkasserad moms,已收取的销售税-退货
Inkasserad moms,已收取的销售税
Podatek od transakcji Marketplace Facilitator,平台代扣代缴税额
Podatek od transakcji Marketplace Facilitator,平台代扣代缴税额-退货
Produktumsatzsteuer,商品销售税
Produktumsatzsteuer,商品销售税-退货
Produktumsatzsteuer,商品销售税-客户拒付
Produktumsatzsteuer,清仓-税费
Produktumsatzsteuer,清仓-税费调整
Rabais promotionnels,折扣金额
Rabais promotionnels,折扣金额-退货
Rabatte aus Werbeaktionen,折扣金额
Rabatte aus Werbeaktionen,折扣金额-退货
Rabatte aus Werbeaktionen,折扣金额-客户拒付
Regulatory Fee,监管费
Regulatory Fee,监管费-退货
Regulatory fee,监管费
Regulatory fee,监管费-退货
Regulatory fee,监管费-客户拒付
Sconti promozionali,折扣金额
Sconti promozionali,折扣金额-退货
Skatt för marknadsplatsförmedlare,平台代扣代缴税额-退货
Skatt för marknadsplatsförmedlare,平台代扣代缴税额
Steuer auf Aktionsrabatte,折扣税
Steuer auf Aktionsrabatte,折扣税-退货
Steuer auf Aktionsrabatte,折扣税-客户拒付
Steuer auf Geschenkverpackungsgutschriften,包装税
Steuer auf Geschenkverpackungsgutschriften,包装税-退货
Steuer auf Geschenkverpackungsgutschriften,包装税-客户拒付
Steuer auf Versandgutschrift,运费税
Steuer auf Versandgutschrift,运费税-退货
Steuer auf Versandgutschrift,运费税-客户拒付
Tax On Regulatory Fee,监管费税
Tax On Regulatory Fee,监管费税-退货
Tax on regulatory fee,监管费税
Tax on regulatory fee,监管费税-退货
Tax on regulatory fee,监管费税-客户拒付
Taxe Marketplace Facilitator,平台代扣代缴税额
Taxes retenues sur le site de vente,平台代扣代缴税额
Taxes retenues sur le site de vente,平台代扣代缴税额-退货
Taxes sur la vente des produits,商品销售税
Taxes sur la vente des produits,商品销售税-退货
Taxes sur les crédits cadeaux,包装税
Taxes sur les crédits cadeaux,包装税-退货
Taxes sur les remises promotionnelles,折扣税
Taxes sur les remises promotionnelles,折扣税-退货
Total des réductions,折扣金额
Umsätze,商品销售收入
Umsätze,商品销售收入-退货
Umsätze,商品销售收入-客户拒付
Umsätze,清仓-收入
Umsätze,清仓-收入调整
Vendite,商品销售收入
Vendite,商品销售收入-退货
Verkaufsgebühren,佣金
Verkaufsgebühren,佣金-退货
Verkaufsgebühren,佣金-客户拒付
Verzendtegoeden,运费销售收入
Verzendtegoeden,运费销售收入-退货
abonos de envoltorio para regalo,包装收入
abonos de envoltorio para regalo,包装收入-退货
abonos de envío,运费销售收入
abonos de envío,运费销售收入-退货
autre,其他
autre,其他-退货
autres,其他
autres frais de transaction,其他交易费用
autres frais de transaction,广告费
autres frais de transaction,其他交易费用-退货
crédits d'expédition,运费销售收入
crédits d'expédition,运费销售收入-退货
crédits d’emballage-cadeau,包装收入
crédits d’expédition,运费销售收入
crédits sur l'emballage cadeau,包装收入
crédits sur l'emballage cadeau,包装收入-退货
devoluciones promocionales,折扣金额
devoluciones promocionales,折扣金额-退货
fba fees,运费
fba fees,运费-退货
fba fees,运费-客户拒付
fba-avgifter,运费-退货
fba-avgifter,运费
fba-vergoedingen,运费
fba-vergoedingen,运费-退货
frais de vente,佣金
frais de vente,佣金-退货
fraktkrediter,运费销售收入-退货
fraktkrediter,运费销售收入
försäljning av produkter,商品销售收入-退货
försäljning av produkter,商品销售收入
försäljningsavgifter,佣金-退货
försäljningsavgifter,佣金
geïnde omzetbelasting,已收取的销售税
geïnde omzetbelasting,已收取的销售税-退货
gift wrap credits,包装收入
gift wrap credits,包装收入-退货
gift wrap credits,包装收入-客户拒付
gift wrap credits tax,包装税-退货
gift wrap credits tax,包装税-客户拒付
giftwrap credits tax,包装税
giftwrap credits tax,包装税-退货
imposta accrediti per le spedizioni,订单追加费-运费税
imposta accrediti per le spedizioni,运费税
imposta accrediti per le spedizioni,运费税-退货
imposta sugli sconti promozionali,折扣税
imposta sugli sconti promozionali,折扣税-退货
imposta sui crediti confezione regalo,包装税
imposta sui crediti confezione regalo,包装税-退货
imposta sulle vendite dei prodotti,订单追加费-商品税
imposta sulle vendite dei prodotti,商品销售税
imposta sulle vendite dei prodotti,商品销售税-退货
impuesto de ventas de productos,订单追加费-商品税
impuesto de ventas de productos,商品销售税
impuesto de ventas de productos,商品销售税-退货
impuesto retenido en el sitio web,订单追加费-平台代扣代缴税额
impuesto retenido en el sitio web,平台代扣代缴税额
impuesto retenido en el sitio web,平台代扣代缴税额-退货
impuestos de descuentos por promociones,折扣税
impuestos de descuentos por promociones,折扣税-退货
impuestos por abonos de envoltorio para regalo,包装税
impuestos por abonos de envoltorio para regalo,包装税-退货
impuestos por abonos de envío,订单追加费-运费税
impuestos por abonos de envío,运费税
impuestos por abonos de envío,运费税-退货
inne,其他
inne,其他-退货
inne opłaty transakcyjne,其他交易费用
inne opłaty transakcyjne,其他交易费用-退货
kampanjrabatter,折扣金额-退货
kampanjrabatter,折扣金额
kredietpunten cadeauverpakking,包装收入
kredietpunten cadeauverpakking,包装收入-退货
krediter för presentinslagning,包装收入-退货
krediter för presentinslagning,包装收入
marketplace withheld tax,平台代扣代缴税额
marketplace withheld tax,平台代扣代缴税额-退货
marketplace withheld tax,平台代扣代缴税额-客户拒付
marketplace withheld tax,订单追加费-平台代扣代缴税额
marketplace withheld tax,退款追加费-平台代扣代缴税额
noty kredytowe za wysyłkę,运费销售收入
noty kredytowe za wysyłkę,运费销售收入-退货
opłaty za fba,运费
opłaty za fba,运费-退货
opłaty za sprzedaż,佣金
opłaty za sprzedaż,佣金-退货
other,其他
other,其他-退货
other,广告费
other,店铺月租
other,优惠券使用费
other,其他-客户拒付
