SELLERSKU,ASIN,FNSKU,站点,账号,首单时间,仓库SKU,产品ID,一级大类,二级类目,三级类目,最新采购价
1,B0D8HRS8NW,X004G3DVMH,US,amazon新站_US,2025/6/24,DKCD08XL02R-S2,DKCD08XL02R-S2,动力工具,钻孔工具,常规电钻,64.74
02-851O-382M,B0GCCQ9R64,X004YFYTAZ,CA,amazon丰平站_CA,2026/3/11,DKPHGG0018,DKPHGGA002C1-K1UL-WOAZ,动力工具,结合工具,热熔胶枪,15.54
0A-6BXY-969Q,B0G3PKFNZD,X004XD6UZP,CA,amazon丰平站_CA,2026/1/21,DKPESS0012,DKPESSR04VB1-K1UL-GGAZ,动力工具,切割工具,电动剪刀,50.28
0D-2VP2-2P19,B0FSZMPDTL,X004VE65U1,CA,amazon老站_CA_CA,2025/12/9,DKCD20XL02G-AZ02-UL,DKCD20XL02G-AZ02-UL,动力工具,钻孔工具,常规电钻,126
0M-CT0T-2FIV,B0DKT48WKS,,US,amazon贺敏_US,2025/6/1,DKSG70K1G-US,DKSG70K1G-US,动力工具,喷雾工具,喷枪,112
0M-VEMY-XRJB,B06XFSCDX9,,CA,amazon丰平站_CA,2025/11/4,MZ224,MZ224,手工具,劳保类手工具,焊帽,76.23
0N-AZP5-Z8MJ,B0FZBBPZ5S,X004XC28L1,CA,amazon丰平站_CA,2026/3/5,DKPJGS0009,DKPJGSD075C1-K1UL-GYAZ,动力工具,切割工具,曲线锯,135.78
0R-OXSR-M4HP,B0GSTX5BF7,X004YKFGA7,CA,amazon杭州站_CA,2026/3/30,DKPSHG0001,DKPSHGX220C1-K1UL-YBAZ,动力工具,加热工具,热风枪,41
0Y-3AJM-H0XD,B0CC1S7SPC,X004XTIIDB,US,amazon贺敏_US,2026/2/13,DKCD20XL02P-AZ01,DKCD20XL02P-AZ01,动力工具,钻孔工具,常规电钻,92.25
0Z-KF12-YWWQ,B0CW2S7S47,X004CU7WRT,CA,amazon丰平站_CA,2025/6/1,DKMT238D-GP,DKMT238D-GP,多品组套,多类混合套装,多类混合套装,263.45
13-XZBT-TZDG,B0FJ8FHNQS,X004WVPG4T,CA,amazon杰哥站_CA,2026/1/5,DKCD12XL02VT-S2,DKCD12XL02VT-S2,动力工具,钻孔工具,常规电钻,77.87
150PCS 5INCH SANDPAPER,B0DMDYJF91,X002FXUFYJ,ES,amazon亚马逊欧洲_ES,2026/3/16,DKH01ST01-50,DKH01ST01-50,附件,磨砂类附件,砂纸,9.9
150PCS 5INCH SANDPAPER,B0DMDYJF91,X002FXUFYJ,SE,amazon亚马逊欧洲-SE_SE,2026/3/16,DKH01ST01-50,DKH01ST01-50,附件,磨砂类附件,砂纸,9.9
15-8XG7-WGP5,B0FBVMJ4TW,X004PK9AE9,US,amazonGulin_US,2025/8/7,DKPESS0003,DKPESSR04VB1-K2GL-YBAZ,动力工具,切割工具,电动剪刀,53.74
16-WPZ9-8TBR,B09Y8BWFZB,X004Y6WH4T,US,amazon本土站_US,2026/3/16,DKCD08XL02P-S2,DKCD08XL02P-S2,动力工具,钻孔工具,常规电钻,64.74
19-S5YQ-5PVT,B0FPWDXX5F,X004Y6AF89,US,amazon杭州站_US,2025/12/28,DKPGSR0003,DKPGSRA020B1-K1UL-GEAZ,动力工具,花园工具,除雪类,684.7
1C-0ILB-9287,B0FNM1776Q,X004TMV2NZ,US,amazon杰哥站_US,2025/10/23,DKPGSR0006,DKPGSRA020C1-K1UL-GEAZ,动力工具,花园工具,除雪类,381
1C-6MQH-BQA2,B0D8B8FB1X,X004BEWEWJ,US,amazon老站_US,2025/6/1,DKCD20XL02B-AZ01,DKCD20XL02B-AZ01,动力工具,钻孔工具,常规电钻,92.25
1C-S2Q7-7VSM,B0FSZMPDTL,X004XV8CIP,CA,amazon丰平站_CA,2026/3/25,DKCD20XL02G-AZ02-UL,DKCD20XL02G-AZ02-UL,动力工具,钻孔工具,常规电钻,126
1K-DBT1-BB5Q,B0FMXZNHTT,X004T1A5BL,US,amazon贺敏_US,2025/11/25,DKHHSB0002,DKHHSBX034M1-L1GL-BOAZ,手工具,收纳类手工具,储物盒,20.2
1M-K9PI-D97H,B0GH6Z5Q6S,X004Z9DR1H,US,amazon贺敏_US,2026/3/12,DKPSSD0002,DKPSSDA028C1-K1UL-GYAZ,动力工具,砂光工具,平板砂,101.28
1M-S0CK-3E6U,B0DLG2C7SG,X004RPUYT7,US,amazon贺敏_US,2025/11/10,DKCS20Q1Y-G-S2-B1040-UL,DKCS20Q1Y-G-S2-B1040-UL,动力工具,切割工具,电圆锯,323.37
1T-7BCW-ZND4,B0F3CJ69HJ,X004N1X4D3,CA,amazon老站_CA_CA,2025/6/9,DKMT126-CY,DKMT126-CY,多品组套,多类混合套装,多类混合套装,128.85
1X-A8RZ-XFT6,B0CCDKM3XB,X003WFTUL1,US,amazon老站_US,2025/6/2,DKPO15G80-US,DKPO15G80-US,动力工具,抛光工具,离心式抛光机,168.5
1Y-XSJV-XZOS,B0FH1PXRJD,X004YQQPWJ,US,amazon贺敏_US,2026/1/29,DKPSRT0011,DKPSRTX017C2-K1UL-PKAZ,动力工具,特殊工具,小电磨,95.48
26-I7JS-Y2EW,B0FM71TBBF,X004YFDD4N,US,amazon本土站_US,2026/1/16,DKPSHG0002,DKPSHGX245C1-K1UL-YBAZ,动力工具,加热工具,热风枪,68
28-29GW-KLQG,B0DX23BVNY,X0019POLM3,JP,日本新站_JP,2025/8/25,DKBSTZ13PCSHM,DKBSTZ13PCSHM,手工具,扳手类手工具,扳手/组套,149
29-IWB1-PBYA,B0F5V6F6GW,X004VJANQN,US,amazon贺敏_US,2025/12/2,DKMMXK0001,DKMMXK238BMC- M1UL-RDAZ,多品组套,多类混合套装,多类混合套装,263.45
29-QS54-YKY7,B0C4H1JGN8,X003TANPIX,US,amazon老站_US,2025/6/3,MZ224T,MZ224T,手工具,劳保类手工具,焊帽,68
2A-406U-HGQ4,B0DMNGHLL3,,US,amazonGulin_US,2025/6/10,DKPCVCA18VA1-K1UL-GYAZ,DKPCVCA18VA1-K1UL-GYAZ,动力工具,清洁工具,吸尘器,95
2B-IFTR-YPZS,B0DM8QMQDJ,X004YN8F11,US,amazon本土站_US,2026/3/3,DKRS20Q1Y-G-S1-B1020-UL,DKRS20Q1Y-G-S1-B1020-UL,动力工具,切割工具,往复锯,174.7
2J-QGNF-75CA,B0D2W2RP3Q,X004PJSAMN,US,amazonGulin_US,2025/7/29,DKRT170Y1-S2-US,DKRT170Y1-S2-US,动力工具,特殊工具,小电磨,91.5
2L-E2SX-DWYI,B0DT48FZP1,X004JFYWZ7,US,amazonGulin_US,2025/7/9,DKPGCS0001,DKPGCSD100C1-K1UL-GEAZ,动力工具,花园工具,链锯,240
2M-43V4-SQX2,B0DQP3178V,X004YI5NY3,US,amazon本土站_US,2026/1/27,DKPO15G80G-US,DKPO15G80G-US,动力工具,抛光工具,离心式抛光机,177.77
2M-5FHG-FJK8,B0DXPB1QCH,X0019R9BGH,JP,日本新站_JP,2025/8/8,DKGP250R01-US,DKGP250R01-US,机械设备,水泵,花园泵,146
2N-50UG-Y6FU,B0FBWMVLDJ,X001CAATE9,JP,日本新站_JP,2026/1/25,DKMT126-VT,DKMT126-VT,多品组套,手工具组套,常规手工具组合,128.85
2N-5Y4F-4BQE,B0D2W2N2K5,X004XT9CO5,US,amazon贺敏_US,2026/1/15,DKRT170Y1P-S2-US,DKRT170Y1P-S2-US,动力工具,特殊工具,小电磨,91.5
2N-RS9E-92UQ,B0D7PRVCBJ,X004AUJ5NF,US,amazon新站_US,2025/6/1,DKCD12XL02P-S2,DKCD12XL02P-S2,动力工具,钻孔工具,常规电钻,77.87
2N-S4GP-AA0F,B09Y8BWFZB,X004KLH815,US,amazon新站_US,2025/6/1,DKCD08XL02P-S2,DKCD08XL02P-S2,动力工具,钻孔工具,常规电钻,64.74
2Q-OJ7L-1KGT,B08T61D9GX,X00480ALQH,CA,amazon丰平站_CA,2025/6/1,DKBSTZ13PCS,DKBSTZ13PCS,手工具,扳手类手工具,扳手/组套,133.67
2T-8WX5-1K7Z,B0GFDHL9GJ,X004YWXBB1,CA,amazon丰平站_CA,2026/3/27,DKEHPW0003,DKEHPWC190C1-K1UL-GEAZ,机械设备,高压清洗机,高压清洗机,391
2Y-4NRG-662N,B0FND46GQT,X004T7DZKN,US,amazon老站_US,2025/10/10,DKPGSR0001,DKPGSRA014B1-K1UL-GEAZ,动力工具,花园工具,除雪类,572
2Y-I0WP-AZI5,B0FZBBPZ5S,X004WNEMOH,US,amazon贺敏_US,2026/1/16,DKPJGS0009,DKPJGSD075C1-K1UL-GYAZ,动力工具,切割工具,曲线锯,135.78
31-BQEL-8VX5,B0D2W2N2K5,X004900RH9,US,amazon老站_US,2025/6/1,DKRT170Y1P-S2-US,DKRT170Y1P-S2-US,动力工具,特殊工具,小电磨,91.5
33-Z9KS-X6V1,B0D9VS724G,X004GF3KOJ,US,amazonGulin_US,2025/6/3,DKOS30A125R-US,DKOS30A125R-US,动力工具,砂光工具,圆砂,93.61
36-HH1J-3WK0,B0F93ZKYJ1,,US,amazon杭州站_US,2025/6/1,DKMT126-VT,DKMT126-VT,多品组套,手工具组套,常规手工具组合,128.85
36-XV02-D3JY,B07NQHRR2C,,CA,amazon老站_CA_CA,2025/6/2,DKMT258S,DKMT258S,多品组套,手工具组套,常规手工具组合,372.29
3D-7Z5O-4Z49,B0DMNGHLL3,X004L3FM6F,US,amazon贺敏_US,2025/6/1,DKPCVCA18VA1-K1UL-GYAZ,DKPCVCA18VA1-K1UL-GYAZ,动力工具,清洁工具,吸尘器,95
3H-722C-SWXP,B0GD5YPCZH,X004YQR9LZ,US,amazon本土站_US,2026/3/20,DKMLTK0006,DKMLTK20VBMC-M1UL-GYAZ,多品组套,动力工具组套,锂电类工具组合,361.37
3H-HY2E-GYWR,B089LTRGZV,X004Y4RU1V,CA,amazon杭州站_CA,2026/2/19,DKMT100,DKMT100,多品组套,手工具组套,常规手工具组合,90.01
