原始列名,分组大类,中文列名
Accrediti per confezioni regalo,商品销售收入,包装收入
Accrediti per confezioni regalo,商品销售收入-退货,包装收入
Accrediti per le spedizioni,商品销售收入,运费销售收入
Accrediti per le spedizioni,商品销售收入-退货,运费销售收入
Altri costi relativi alle transazioni,商品销售收入,其他交易费用
Altri costi relativi alle transazioni,商品销售收入-退货,其他交易费用
Altro,商品销售收入,其他
Altro,商品销售收入-退货,其他
Amazonポイントの費用,商品销售收入-退货,亚马逊积分费用
Amazonポイントの費用,商品销售收入,亚马逊积分费用
Andere,商品销售收入,其他
Andere,商品销售收入-退货,其他
Andere,商品销售收入-客户拒付,其他
Andere Transaktionsgebühren,商品销售收入,其他交易费用
Andere Transaktionsgebühren,商品销售收入-退货,其他交易费用
Andere Transaktionsgebühren,商品销售收入-客户拒付,其他交易费用
Andere Transaktionsgebühren,清仓-收入,其他交易费用
Andere Transaktionsgebühren,清仓-收入调整,其他交易费用
Belasting voor marketplace-facilitator,商品销售收入,平台代扣代缴税额
Belasting voor marketplace-facilitator,商品销售收入-退货,平台代扣代缴税额
Commissioni di vendita,商品销售收入,佣金
Commissioni di vendita,商品销售收入-退货,佣金
Costi del servizio Logistica di Amazon,商品销售收入,运费
Costi del servizio Logistica di Amazon,商品销售收入-退货,运费
Einbehaltene Steuer auf Marketplace,商品销售收入,平台代扣代缴税额
Einbehaltene Steuer auf Marketplace,商品销售收入-退货,平台代扣代缴税额
Einbehaltene Steuer auf Marketplace,商品销售收入-客户拒付,平台代扣代缴税额
FBA 手数料,商品销售收入-退货,运费
FBA 手数料,商品销售收入,运费
Frais Expédié par Amazon,商品销售收入,运费
Frais Expédié par Amazon,商品销售收入-退货,运费
Frais pour le service Expédié par Amazon,商品销售收入,运费
Gebühren zu Versand durch Amazon,商品销售收入,运费
Gebühren zu Versand durch Amazon,商品销售收入-退货,运费
Gebühren zu Versand durch Amazon,商品销售收入-客户拒付,运费
Gesamt,FBA库存赔偿-客户退货,其他
Gesamt,FBA库存赔偿-仓库遗失,其他
Gesamt,FBA库存赔偿-常规调整,其他
Gesamt,FBA库存赔偿-仓库损毁,其他
Gesamt,FBA库存赔偿-配送中途丢失,其他
Gesamt,客户货款追回,其他
Gesamt,FBA库存赔偿-费用调整,其他
Gesamt,订单追加费-商品税,商品销售税
Gesamt,订单追加费-商品税,运费税
Gesamt,订单追加费-商品税,平台代扣代缴税额
Gesamt,退款追加费-商品税,商品销售税
Gesamt,退款追加费-商品税,运费税
Gesamt,退款追加费-商品税,平台代扣代缴税额
Gesamt,优惠活动报名费,佣金
Gesamt,优惠活动服务费,佣金
Gesamt,秒杀活动报名费,佣金
Gesamt,秒杀活动服务费,佣金
Gesamt,好评活动注册费,佣金
Gesamt,广告费,其他交易费用
Gesamt,优惠活动服务费,其他交易费用
Gesamt,FBA退货服务费,运费
Gesamt,FBA仓储费,其他
Gesamt,FBA长期仓储费,其他
Gesamt,FBA弃置费,其他
Gesamt,FBA仓储超量费,其他
Gesamt,提现金额,其他
Gesamt,亚马逊额外退货处理费,其他
Gutschrift für Geschenkverpackung,商品销售收入,包装收入
Gutschrift für Geschenkverpackung,商品销售收入-退货,包装收入
Gutschrift für Geschenkverpackung,商品销售收入-客户拒付,包装收入
Gutschrift für Versandkosten,商品销售收入,运费销售收入
Gutschrift für Versandkosten,商品销售收入-退货,运费销售收入
Gutschrift für Versandkosten,商品销售收入-客户拒付,运费销售收入
Inkasserad moms,商品销售收入-退货,已收取的销售税
Inkasserad moms,商品销售收入,已收取的销售税
Podatek od transakcji Marketplace Facilitator,商品销售收入,平台代扣代缴税额
Podatek od transakcji Marketplace Facilitator,商品销售收入-退货,平台代扣代缴税额
Produktumsatzsteuer,商品销售收入,商品销售税
Produktumsatzsteuer,商品销售收入-退货,商品销售税
Produktumsatzsteuer,商品销售收入-客户拒付,商品销售税
Produktumsatzsteuer,清仓-收入,商品销售税
Produktumsatzsteuer,清仓-收入调整,商品销售税
Rabais promotionnels,商品销售收入,折扣金额
Rabais promotionnels,商品销售收入-退货,折扣金额
Rabatte aus Werbeaktionen,商品销售收入,折扣金额
Rabatte aus Werbeaktionen,商品销售收入-退货,折扣金额
Rabatte aus Werbeaktionen,商品销售收入-客户拒付,折扣金额
Regulatory Fee,商品销售收入,监管费
Regulatory Fee,商品销售收入-退货,监管费
Regulatory fee,商品销售收入,监管费
Regulatory fee,商品销售收入-退货,监管费
Regulatory fee,商品销售收入-客户拒付,监管费
Sconti promozionali,商品销售收入,折扣金额
Sconti promozionali,商品销售收入-退货,折扣金额
Skatt för marknadsplatsförmedlare,商品销售收入-退货,平台代扣代缴税额
Skatt för marknadsplatsförmedlare,商品销售收入,平台代扣代缴税额
