币种,汇率(原币->USD),结算周期
CAD,0.7236,202411
CAD,0.6995,202412
CAD,0.7025,202501
CAD,0.6981,202502
CAD,0.6981,202503
CAD,0.6978,202504
CAD,0.7262,202505
CAD,0.7232,202506
CAD,0.7347,202507
CAD,0.7239,202508
CAD,0.7285,202509
CAD,0.7157,202510
CAD,0.7128,202511
CAD,0.729,202512
CAD,0.7402,202601
CAD,0.7261,202602
CAD,0.718,202603
EUR,1.0925,202410
EUR,1.0696,202411
EUR,1.0586,202412
EUR,1.0421,202501
EUR,1.0503,202502
EUR,1.0461,202503
EUR,1.0855,202504
EUR,1.1421,202505
EUR,1.136,202506
EUR,1.1785,202507
EUR,1.1453,202508
EUR,1.1696,202509
EUR,1.158,202510
EUR,1.1595,202511
EUR,1.1753,202512
EUR,1.1947,202601
EUR,1.1731,202602
EUR,1.1461,202603
GBP,1.2856,202411
GBP,1.2658,202412
GBP,1.2627,202501
GBP,1.2496,202502
GBP,1.2684,202503
GBP,1.3383,202504
GBP,1.3451,202505
GBP,1.3479,202506
GBP,1.3727,202507
GBP,1.3246,202508
GBP,1.351,202509
GBP,1.3139,202510
GBP,1.3171,202510
GBP,1.3236,202511
GBP,1.3481,202512
GBP,1.3789,202601
GBP,1.3392,202602
GBP,1.3176,202603
JPY,0.0067,202411
JPY,0.0064,202412
JPY,0.0064,202501
JPY,0.0065,202502
JPY,0.0067,202503
JPY,0.0067,202504
JPY,0.0071,202505
JPY,0.0069,202506
JPY,0.007,202507
JPY,0.0067,202508
JPY,0.0068,202509
JPY,0.0065,202510
JPY,0.0064,202511
JPY,0.0064,202512
JPY,0.0064,202601
JPY,0.0064,202602
JPY,0.0063,202603
PLN,0.2459,202411
PLN,0.2419,202412
PLN,0.2421,202501
PLN,0.2459,202502
PLN,0.2474,202503
PLN,0.2585,202504
PLN,0.2646,202505
PLN,0.2671,202506
PLN,0.2777,202507
PLN,0.2713,202508
PLN,0.2748,202509
PLN,0.25,202510
PLN,0.2712,202510
PLN,0.2737,202511
PLN,0.2781,202512
PLN,0.2812,202601
PLN,0.2798,202602
PLN,0.2694,202603
SEK,0.0928,202411
SEK,0.0915,202412
SEK,0.0913,202501
SEK,0.0918,202502
SEK,0.0936,202503
SEK,0.0999,202504
SEK,0.1029,202505
SEK,0.1045,202506
SEK,0.1057,202507
SEK,0.1025,202508
SEK,0.1058,202509
SEK,0.0949,202510
SEK,0.1061,202510
SEK,0.1055,202511
SEK,0.1087,202512
SEK,0.1134,202601
SEK,0.1097,202602
SEK,0.1047,202603
